id,name,welfare_mean,salary_mean,ft_salary_mean,ft_salary_med,pt_fe_ratio,oa_num,oa_ratio
1101,台泥,1189.00 ,991.00 ,1030.00 ,922.00 ,0.27 ,5.00 ,0.00 
1102,亞泥,1326.00 ,1184.00 ,1056.00 ,930.00 ,0.22 ,0.00 ,0.00 
1103,嘉泥,1188.00 ,947.00 ,873.00 ,805.00 ,0.14 ,0.00 ,0.00 
1104,環泥,899.00 ,840.00 ,796.00 ,724.00 ,0.07 ,1.00 ,0.00 
1108,幸福,736.00 ,610.00 ,580.00 ,521.00 ,0.29 ,2.00 ,0.00 
1109,信大,752.00 ,617.00 ,642.00 ,607.00 ,0.16 ,1.00 ,0.00 
1110,東泥,831.00 ,665.00 ,630.00 ,607.00 ,0.18 ,1.00 ,0.01 
1201,味全,887.00 ,744.00 ,734.00 ,675.00 ,0.28 ,9.00 ,0.01 
1203,味王,677.00 ,590.00 ,609.00 ,579.00 ,0.10 ,10.00 ,0.01 
1210,大成,809.00 ,681.00 ,710.00 ,600.00 ,0.19 ,21.00 ,0.01 
1213,大飲,492.00 ,412.00 ,404.00 ,384.00 ,0.25 ,0.00 ,0.00 
1215,卜蜂,899.00 ,773.00 ,665.00 ,508.00 ,0.31 ,28.00 ,0.01 
1216,統一,1371.00 ,1209.00 ,1183.00 ,1012.00 ,0.29 ,1.00 ,0.00 
1217,愛之味,793.00 ,660.00 ,688.00 ,590.00 ,0.34 ,4.00 ,0.01 
1218,泰山,1387.00 ,1241.00 ,1049.00 ,853.00 ,0.25 ,3.00 ,0.00 
1219,福壽,831.00 ,689.00 ,682.00 ,625.00 ,0.13 ,3.00 ,0.01 
1220,台榮,658.00 ,541.00 ,571.00 ,537.00 ,0.14 ,2.00 ,0.01 
1225,福懋油,890.00 ,746.00 ,695.00 ,621.00 ,0.10 ,0.00 ,0.00 
1227,佳格,1078.00 ,888.00 ,856.00 ,767.00 ,0.39 ,12.00 ,0.01 
1229,聯華,3098.00 ,2800.00 ,749.00 ,680.00 ,0.25 ,0.00 ,0.00 
1231,聯華食,831.00 ,695.00 ,686.00 ,582.00 ,0.39 ,19.00 ,0.01 
1232,大統益,1982.00 ,1742.00 ,1585.00 ,1362.00 ,0.26 ,0.00 ,0.00 
1233,天仁,501.00 ,417.00 ,544.00 ,487.00 ,0.50 ,5.00 ,0.00 
1234,黑松,953.00 ,790.00 ,816.00 ,733.00 ,0.15 ,0.00 ,0.00 
1235,興泰,526.00 ,444.00 ,421.00 ,440.00 ,0.33 ,0.00 ,0.00 
1236,宏亞,613.00 ,505.00 ,500.00 ,440.00 ,0.46 ,6.00 ,0.01 
1256,鮮活果汁-KY,N/A,N/A,N/A,N/A,0.36 ,29.00 ,0.03 
1301,台塑,1621.00 ,1434.00 ,1398.00 ,1270.00 ,0.07 ,2.00 ,0.00 
1303,南亞,1233.00 ,1080.00 ,1238.00 ,1161.00 ,0.05 ,5.00 ,0.00 
1304,台聚,1674.00 ,1411.00 ,1513.00 ,1376.00 ,0.01 ,0.00 ,0.00 
1305,華夏,1102.00 ,919.00 ,942.00 ,904.00 ,0.06 ,3.00 ,0.00 
1307,三芳,990.00 ,852.00 ,731.00 ,694.00 ,0.06 ,11.00 ,0.03 
1308,亞聚,1654.00 ,1411.00 ,1490.00 ,1407.00 ,0.03 ,0.00 ,0.00 
1309,台達化,1291.00 ,1084.00 ,1100.00 ,1039.00 ,0.15 ,0.00 ,0.00 
1310,台苯,1185.00 ,930.00 ,883.00 ,793.00 ,0.23 ,0.00 ,0.00 
