id,name,welfare_mean,salary_mean,ft_salary_mean,ft_salary_med,pt_fe_ratio,oa_num,oa_ratio
2609,陽明,3379.00 ,3010.00 ,2753.00 ,2429.00 ,0.28 ,8,0.01 
2610,華航,2039.00 ,1460.00 ,1729.00 ,1241.00 ,0.28 ,67,0.01 
2611,志信,796.00 ,626.00 ,604.00 ,560.00 ,0.09 ,0,0.00 
2612,中航,1781.00 ,1554.00 ,1294.00 ,1193.00 ,0.03 ,2,0.01 
2613,中櫃,762.00 ,628.00 ,595.00 ,580.00 ,0.01 ,7,0.01 
2614,東森,1471.00 ,1298.00 ,1066.00 ,1003.00 ,0.39 ,1,0.00 
2615,萬海,2802.00 ,2549.00 ,2554.00 ,2380.00 ,0.16 ,6,0.01 
2616,山隆,753.00 ,646.00 ,824.00 ,776.00 ,0.11 ,0,0.00 
2617,台航,1416.00 ,1205.00 ,1293.00 ,1100.00 ,0.21 ,1,0.00 
2618,長榮航,1425.00 ,1131.00 ,1243.00 ,727.00 ,0.33 ,27,0.00 
2630,亞航,765.00 ,626.00 ,631.00 ,596.00 ,0.05 ,7,0.01 
2633,台灣高鐵,1064.00 ,892.00 ,898.00 ,812.00 ,0.15 ,1,0.00 
2634,漢翔,1111.00 ,927.00 ,896.00 ,762.00 ,0.19 ,31,0.01 
2636,台驊投控,2541.00 ,2317.00 ,727.00 ,552.00 ,0.10 ,0,0.00 
2637,慧洋-KY,N/A,N/A,N/A,N/A,0.49 ,0,0.00 
2642,宅配通,690.00 ,570.00 ,615.00 ,576.00 ,0.16 ,62,0.04 
2701,萬企,625.00 ,495.00 ,457.00 ,431.00 ,0.50 ,0,0.00 
2702,華園,513.00 ,436.00 ,438.00 ,368.00 ,0.50 ,2,0.00 
2704,國賓,787.00 ,655.00 ,587.00 ,474.00 ,0.47 ,28,0.03 
2705,六福,526.00 ,430.00 ,488.00 ,425.00 ,0.55 ,44,0.00 
2706,第一店,610.00 ,496.00 ,425.00 ,406.00 ,0.67 ,0,0.00 
2707,晶華,698.00 ,584.00 ,610.00 ,495.00 ,0.51 ,11,0.01 
2712,遠雄來,575.00 ,475.00 ,493.00 ,395.00 ,0.33 ,7,0.00 
2722,夏都,501.00 ,413.00 ,419.00 ,359.00 ,0.55 ,8,0.02 
2723,美食-KY,N/A,N/A,N/A,N/A,0.36 ,260,0.02 
2727,王品,491.00 ,408.00 ,594.00 ,502.00 ,0.41 ,69,0.01 
2731,雄獅,530.00 ,421.00 ,425.00 ,390.00 ,0.71 ,4,0.00 
