id,name,d_seats,id_seats,fe_d_seats,fe_d_ratio,da_rate,dfe_ratio
6768,志強-KY,7.00 ,3.00 ,0.00 ,0,1,1
6770,力積電,9.00 ,5.00 ,0.00 ,0,0.96,1
6776,展碁國際,7.00 ,4.00 ,1.00 ,0.14,0.96,1
6781,AES-KY,7.00 ,3.00 ,1.00 ,0.14,0.97,1
6782,視陽,8.00 ,4.00 ,2.00 ,0.25,1,1
6789,采鈺,6.00 ,3.00 ,3.00 ,0.5,1,1
6790,永豐實,7.00 ,3.00 ,2.00 ,0.29,1,1
6792,詠業,8.00 ,4.00 ,0.00 ,0,1,1
6796,晉弘,7.00 ,3.00 ,1.00 ,0.14,0.94,1
6799,來頡,7.00 ,3.00 ,0.00 ,0,0.98,1
6806,森崴能源,7.00 ,3.00 ,1.00 ,0.14,0.95,1
6807,峰源-KY,9.00 ,4.00 ,0.00 ,0,1,1
6830,汎銓,11.00 ,4.00 ,0.00 ,0,1,1
6834,天二科技,9.00 ,3.00 ,1.00 ,0.11,1,1
6835,圓裕,9.00 ,4.00 ,1.00 ,0.11,1,1
6854,錼創科技-KY創,8.00 ,3.00 ,1.00 ,0.13,0.98,1
6861,睿生光電,7.00 ,3.00 ,0.00 ,0,0.98,1
6863,永道-KY,7.00 ,3.00 ,0.00 ,0,1,1
6869,雲豹能源-創,7.00 ,4.00 ,1.00 ,0.14,0.94,1
6873,泓德能源-創,7.00 ,3.00 ,1.00 ,0.14,0.94,1
8011,台通,7.00 ,3.00 ,3.00 ,0.43,0.95,1
8016,矽創,9.00 ,4.00 ,1.00 ,0.11,1,1
8021,尖點,8.00 ,4.00 ,2.00 ,0.25,0.99,1
8028,昇陽半導體,9.00 ,3.00 ,1.00 ,0.11,0.94,1
8033,雷虎,8.00 ,3.00 ,2.00 ,0.25,0.84,1
8039,台虹,9.00 ,3.00 ,0.00 ,0,1,1
8046,南電,9.00 ,3.00 ,0.00 ,0,0.98,1
8070,長華*,7.00 ,3.00 ,1.00 ,0.14,0.95,1
8072,陞泰,7.00 ,4.00 ,2.00 ,0.29,1,1
8081,致新,7.00 ,3.00 ,3.00 ,0.43,0.94,0
8101,華冠,9.00 ,3.00 ,0.00 ,0,0.89,0
8103,瀚荃,7.00 ,3.00 ,1.00 ,0.14,0.96,1
8104,錸寶,9.00 ,3.00 ,3.00 ,0.33,0.96,1
8105,凌巨,6.00 ,2.00 ,1.00 ,0.17,0.96,1
8110,華東,9.00 ,4.00 ,1.00 ,0.11,0.9,1
8112,至上,8.00 ,4.00 ,1.00 ,0.13,1,1
8114,振樺電,9.00 ,3.00 ,3.00 ,0.33,0.98,1
8131,福懋科,11.00 ,3.00 ,1.00 ,0.09,0.94,1
8150,南茂,9.00 ,5.00 ,3.00 ,0.33,0.98,1
8163,達方,9.00 ,4.00 ,1.00 ,0.11,1,1
8201,無敵,7.00 ,3.00 ,0.00 ,0,0.96,1
8210,勤誠,9.00 ,4.00 ,3.00 ,0.33,0.96,1
8213,志超,15.00 ,3.00 ,5.00 ,0.33,1,0.4
8215,明基材,8.00 ,3.00 ,0.00 ,0,1,1
8222,寶一,7.00 ,3.00 ,2.00 ,0.29,0.94,1
8249,菱光,7.00 ,3.00 ,1.00 ,0.14,1,0.94
8261,富鼎,7.00 ,3.00 ,1.00 ,0.14,1,1
8271,宇瞻,9.00 ,3.00 ,1.00 ,0.11,0.97,1
8341,日友,7.00 ,3.00 ,0.00 ,0,1,1
8367,建新國際,9.00 ,4.00 ,1.00 ,0.11,0.93,1
8374,羅昇,9.00 ,3.00 ,2.00 ,0.22,1,1
8404,百和興業-KY,10.00 ,4.00 ,1.00 ,0.1,1,1
8411,福貞-KY,7.00 ,3.00 ,2.00 ,0.29,0.98,1
8422,可寧衛,8.00 ,4.00 ,0.00 ,0,1,1
8429,金麗-KY,7.00 ,3.00 ,0.00 ,0,0.81,1
8438,昶昕,9.00 ,3.00 ,2.00 ,0.22,1,1
8442,威宏-KY,9.00 ,3.00 ,1.00 ,0,0.83,1
8443,阿瘦,7.00 ,3.00 ,1.00 ,0.14,0.91,1
8454,富邦媒,9.00 ,3.00 ,0.00 ,0,1,1
8462,柏文,7.00 ,3.00 ,2.00 ,0.29,0.97,1
8463,潤泰材,9.00 ,3.00 ,1.00 ,0.11,0.89,1
8464,億豐,9.00 ,3.00 ,0.00 ,0,0.97,1
8466,美吉吉-KY,8.00 ,3.00 ,0.00 ,0,0.9,1
8467,波力-KY,7.00 ,3.00 ,2.00 ,0.28,0.89,1
8473,山林水,9.00 ,3.00 ,1.00 ,0.11,0.84,1
8476,台境,7.00 ,3.00 ,1.00 ,0.14,0.96,1
8478,東哥遊艇,7.00 ,3.00 ,1.00 ,0.14,1,1
8481,政伸,11.00 ,3.00 ,1.00 ,0.09,1,1
8482,商億-KY,7.00 ,3.00 ,1.00 ,0.14,1,1
8488,吉源-KY,9.00 ,3.00 ,1.00 ,0.11,0.94,1
8499,鼎炫-KY,7.00 ,3.00 ,3.00 ,0.43,0.96,1
8926,台汽電,13.00 ,3.00 ,0.00 ,0,0.94,1
8940,新天地,6.00 ,2.00 ,2.00 ,0.33,1,1
8996,高力,9.00 ,3.00 ,0.00 ,0,1,1
9802,鈺齊-KY,8.00 ,5.00 ,3.00 ,0.38,1,1
9902,台火,7.00 ,3.00 ,0.00 ,0,1,1
9904,寶成,9.00 ,3.00 ,2.00 ,0.22,0.98,1
9905,大華,10.00 ,3.00 ,2.00 ,0.2,0.98,0.4
9906,欣巴巴,7.00 ,3.00 ,5.00 ,0.71,0.95,1
9907,統一實,10.00 ,3.00 ,1.00 ,0.1,0.99,1
9908,大台北,11.00 ,3.00 ,1.00 ,0.09,0.86,0.64
9910,豐泰,13.00 ,4.00 ,1.00 ,0.08,1,1
9911,櫻花,9.00 ,3.00 ,1.00 ,0.11,0.96,1
9912,偉聯,7.00 ,3.00 ,2.00 ,0.29,0.96,1
9914,美利達,13.00 ,4.00 ,3.00 ,0.23,0.99,1
9917,中保科,11.00 ,3.00 ,1.00 ,0.09,0.98,1
9918,欣天然,24.00 ,5.00 ,6.00 ,0.25,0.92,0.88
9919,康那香,9.00 ,3.00 ,3.00 ,0.33,0.94,1
9921,巨大,11.00 ,3.00 ,1.00 ,0.09,0.97,1
9924,福興,10.00 ,3.00 ,1.00 ,0.1,0.95,1
9925,新保,9.00 ,4.00 ,0.00 ,0,0.83,0.78
9926,新海,15.00 ,3.00 ,2.00 ,0.13,0.88,0.33
9927,泰銘,9.00 ,3.00 ,0.00 ,0,0.98,0.33
9928,中視,9.00 ,3.00 ,3.00 ,0.33,0.93,1
9929,秋雨,7.00 ,3.00 ,0.00 ,0,0.97,0.14
9930,中聯資源,15.00 ,3.00 ,0.00 ,0,0.94,1
9931,欣高,9.00 ,3.00 ,2.00 ,0.22,0.89,1
9933,中鼎,12.00 ,4.00 ,1.00 ,0.08,0.93,1
9934,成霖,7.00 ,3.00 ,1.00 ,0.14,0.96,1
9935,慶豐富,3.00 ,3.00 ,0.00 ,0,0.79,1
9937,全國,9.00 ,3.00 ,2.00 ,0.22,0.94,1
9938,百和,8.00 ,3.00 ,2.00 ,0.25,1,1
9939,宏全,9.00 ,3.00 ,1.00 ,0.11,1,0.56
9940,信義,7.00 ,4.00 ,1.00 ,0.14,0.97,1
9941,裕融,11.00 ,4.00 ,1.00 ,0.09,0.94,1
9942,茂順,9.00 ,4.00 ,1.00 ,0.11,0.89,1
9943,好樂迪,11.00 ,3.00 ,5.00 ,0.45,0.83,0.55
9944,新麗,7.00 ,3.00 ,4.00 ,0.57,0.96,1
9945,潤泰新,9.00 ,3.00 ,2.00 ,0.22,0.87,1
9946,三發地產,7.00 ,3.00 ,0.00 ,0,1,1
9955,佳龍,7.00 ,3.00 ,0.00 ,0,0.98,1
9958,世紀鋼,9.00 ,3.00 ,1.00 ,0,0.99,1
