id,name,call_num
1101,台泥,1
1102,亞泥,14
1103,嘉泥,4
1104,環泥,2
1108,幸福,1
1109,信大,1
1110,東泥,1
1201,味全,1
1203,味王,1
1210,大成,4
1213,大飲,1
1215,卜蜂,1
1216,統一,8
1217,愛之味,1
1218,泰山,1
1219,福壽,1
1220,台榮,1
1225,福懋油,1
1227,佳格,1
1229,聯華,2
1231,聯華食,1
1232,大統益,1
1233,天仁,1
1234,黑松,1
1235,興泰,1
1236,宏亞,1
1256,鮮活果汁-KY,1
1301,台塑,4
1303,南亞,4
1304,台聚,4
1305,華夏,4
1307,三芳,1
1308,亞聚,1
1309,台達化,1
1310,台苯,1
1312,國喬,1
1313,聯成,1
1314,中石化,2
1315,達新,1
1316,上曜,4
1319,東陽,8
1321,大洋,1
1323,永裕,1
1324,地球,1
1325,恆大,1
1326,台化,2
1337,再生-KY,1
1338,廣華-KY,2
1339,昭輝,2
1340,勝悅-KY,1
1341,富林-KY,2
1342,八貫,1
1402,遠東新,7
1409,新纖,1
1410,南染,1
1413,宏洲,1
1414,東和,1
1416,廣豐,2
1417,嘉裕,1
1418,東華,1
1419,新紡,1
1423,利華,1
1432,大魯閣,1
1434,福懋,2
1435,中福,1
1436,華友聯,1
1437,勤益控,2
1438,三地開發,1
1439,雋揚,2
1440,南紡,2
1441,大東,1
1442,名軒,1
1443,立益物流,1
1444,力麗,1
1445,大宇,1
1446,宏和,1
1447,力鵬,1
1449,佳和,1
1451,年興,1
1452,宏益,1
1453,大將,1
1454,台富,1
1455,集盛,1
1456,怡華,1
1457,宜進,1
1459,聯發,1
1460,宏遠,1
1463,強盛,1
1464,得力,2
1465,偉全,1
1466,聚隆,1
1467,南緯,1
1468,昶和,2
1470,大統新創,1
1471,首利,1
1472,三洋實業,1
1473,台南,2
1474,弘裕,2
1475,業旺,1
1476,儒鴻,6
1477,聚陽,36
1503,士電,1
1504,東元,13
1506,正道,1
1512,瑞利,1
1513,中興電,1
1514,亞力,1
1515,力山,2
1516,川飛,1
1517,利奇,1
1519,華城,1
1521,大億,1
1522,堤維西,1
1524,耿鼎,1
1525,江申,2
1526,日馳,1
1527,鑽全,2
1528,恩德,1
1529,樂事綠能,1
1530,亞崴,1
1531,高林股,1
1532,勤美,5
1533,車王電,1
1535,中宇,2
1536,和大,2
1537,廣隆,4
1538,正峰,1
1539,巨庭,1
1540,喬福,0
1541,錩泰,1
1558,伸興,2
1560,中砂,4
1568,倉佑,1
1582,信錦,2
1583,程泰,1
1587,吉茂,1
1589,永冠-KY,7
1590,亞德客-KY,27
1597,直得,1
1598,岱宇,4
1603,華電,1
1604,聲寶,1
1605,華新,4
1608,華榮,1
1609,大亞,2
1611,中電,2
1612,宏泰,1
1614,三洋電,1
1615,大山,1
1616,億泰,1
1617,榮星,1
1618,合機,1
1626,艾美特-KY,2
1701,中化,2
1702,南僑,2
1707,葡萄王,6
1708,東鹼,1
1709,和益,1
1710,東聯,4
1711,永光,2
1712,興農,4
1713,國化,1
1714,和桐,1
1717,長興,4
1718,中纖,1
1720,生達,2
1721,三晃,1
1722,台肥,1
1723,中碳,4
1725,元禎,1
1726,永記,1
1727,中華化,1
1730,花仙子,1
1731,美吾華,1
1732,毛寶,1
1733,五鼎,2
1734,杏輝,1
1735,日勝化,1
1736,喬山,4
1737,臺鹽,1
1752,南光,1
1760,寶齡富錦,2
1762,中化生,3
1773,勝一,1
1776,展宇,1
1783,和康生,4
1786,科妍,1
1789,神隆,5
1795,美時,14
1802,台玻,1
1805,寶徠,1
1806,冠軍,1
1808,潤隆,1
1809,中釉,1
1810,和成,1
1817,凱撒衛,2
1903,士紙,1
1904,正隆,2
1905,華紙,4
1906,寶隆,1
1907,永豐餘,4
1909,榮成,2
2002,中鋼,4
2006,東和鋼鐵,2
2007,燁興,2
2008,高興昌,1
2009,第一銅,1
2010,春源,1
2012,春雨,2
2013,中鋼構,2
2014,中鴻,4
2015,豐興,4
2017,官田鋼,4
2020,美亞,2
2022,聚亨,2
2023,燁輝,2
2024,志聯,1
2025,千興,1
2027,大成鋼,1
2028,威致,1
2029,盛餘,4
2030,彰源,1
2031,新光鋼,1
2032,新鋼,1
2033,佳大,1
2034,允強,1
2038,海光,1
2049,上銀,2
2059,川湖,5
2062,橋椿,2
2069,運錩,1
2101,南港,1
2102,泰豐,1
2103,台橡,2
2104,國際中橡,1
2105,正新,2
2106,建大,1
2107,厚生,1
2108,南帝,1
2109,華豐,1
2114,鑫永銓,1
2115,六暉-KY,1
2201,裕隆,4
2204,中華,4
2206,三陽工業,2
2207,和泰車,4
2208,台船,1
2211,長榮鋼,2
2227,裕日車,2
2228,劍麟,3
2231,為升,1
2233,宇隆,2
2236,百達-KY,1
2239,英利-KY,1
2241,艾姆勒,2
2243,宏旭-KY,1
2247,汎德永業,2
2250,IKKA-KY,1
2301,光寶科,4
2302,麗正,1
2303,聯電,4
2305,全友,1
2308,台達電,35
2312,金寶,1
2313,華通,7
2314,台揚,2
2316,楠梓電,1
2317,鴻海,4
2321,東訊,1
2323,中環,1
2324,仁寶,15
2327,國巨,18
2328,廣宇,2
2329,華泰,1
2330,台積電,5
2331,精英,2
2332,友訊,2
2337,旺宏,4
2338,光罩,2
2340,台亞,1
2342,茂矽,1
2344,華邦電,2
2345,智邦,1
2347,聯強,8
2348,海悅,1
2349,錸德,1
2351,順德,12
2352,佳世達,4
2353,宏碁,6
2354,鴻準,1
2355,敬鵬,1
2356,英業達,20
2357,華碩,4
2358,廷鑫,1
2359,所羅門,1
2360,致茂,18
2362,藍天,4
2363,矽統,1
2364,倫飛,1
2365,昆盈,1
2367,燿華,1
2368,金像電,5
2369,菱生,1
2371,大同,2
2373,震旦行,2
2374,佳能,1
2375,凱美,1
2376,技嘉,2
2377,微星,1
2379,瑞昱,4
2380,虹光,1
2382,廣達,21
2383,台光電,41
2385,群光,18
2387,精元,1
2388,威盛,1
2390,云辰,1
2392,正崴,2
2393,億光,2
2395,研華,43
2397,友通,4
2399,映泰,1
2401,凌陽,3
2402,毅嘉,1
2404,漢唐,1
2405,輔信,1
2406,國碩,1
2408,南亞科,29
2409,友達,4
2412,中華電,4
2413,環科,1
2414,精技,1
2415,錩新,2
2417,圓剛,2
2419,仲琦,1
2420,新巨,2
2421,建準,2
2423,固緯,2
2424,隴華,1
2425,承啟,1
2426,鼎元,1
2427,三商電,1
2428,興勤,4
2429,銘旺科,1
2430,燦坤,2
2431,聯昌,1
2432,倚天酷碁-創,0
2433,互盛電,2
2434,統懋,1
2436,偉詮電,2
2438,翔耀,1
2439,美律,17
2440,太空梭,1
2441,超豐,2
2442,新美齊,2
2443,昶虹,1
2444,兆勁,1
