代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,risk_management ,nocorrupt
1725,1,1,1,0,0,0,0,0
1726,1,1,0,0,0,0,0,0
1727,1,1,1,0,0,0,0,0
1730,1,1,1,0,0,0,0,0
1731,1,1,1,0,0,0,0,0
1732,1,1,1,0,0,0,0,0
1733,1,1,1,0,0,0,0,0
1734,1,1,1,0,0,0,0,1
1735,1,1,1,0,0,0,0,0
1736,0,1,1,0,0,0,0,0
1737,0,1,1,0,0,1,0,0
1752,0,1,1,0,0,0,0,0
1760,1,1,1,0,0,0,0,0
1762,0,1,1,0,0,0,0,0
1773,0,1,1,0,0,0,0,0
1776,0,1,0,0,0,0,0,0
1783,0,1,1,0,0,1,0,0
1786,1,1,1,0,0,0,0,0
1789,1,1,1,0,0,0,0,0
1795,1,1,1,0,0,0,0,1
1802,1,1,1,0,0,0,0,1
1805,0,1,1,0,0,0,0,0
1806,1,1,1,0,0,0,0,0
1808,0,1,0,0,0,0,0,0
1809,1,1,1,0,0,0,0,0
1810,0,1,1,0,0,0,0,0
1817,0,1,1,0,0,0,0,0
1903,1,1,1,0,0,0,0,1
1904,1,1,1,0,0,0,0,0
1905,0,1,1,0,0,0,0,0
1906,0,1,1,0,0,0,0,0
1907,0,1,1,0,0,0,0,0
1909,1,1,0,0,0,1,0,0
2002,0,1,1,1,0,1,0,1
2006,1,1,1,1,0,0,0,0
2007,1,1,1,0,0,0,0,0
2008,1,1,0,0,0,0,0,0
2009,0,1,1,0,0,0,0,0
2010,0,1,1,0,0,0,0,0
2012,0,1,1,0,0,1,0,0
2013,1,1,1,0,0,1,0,0
2014,1,1,1,0,0,1,0,0
2015,0,1,1,0,0,0,1,0
2017,0,1,0,0,0,0,0,0
2020,1,1,1,0,0,1,0,1
2022,0,1,1,0,0,0,0,0
2023,0,1,1,0,0,0,0,0
2024,1,1,1,0,0,1,0,0
2025,1,1,1,0,0,1,0,0
2027,1,0,0,0,0,1,0,0
2028,1,0,0,0,0,1,0,0
2029,0,1,1,0,0,1,0,0
2030,0,1,1,0,0,0,0,0
2031,0,0,0,0,0,0,0,0
2032,1,1,1,0,0,0,0,0
2033,0,1,0,0,0,0,0,0
2034,0,0,1,0,0,0,0,0
2038,0,1,0,0,0,1,0,0
2049,0,1,1,0,0,1,0,0
2059,0,1,1,0,0,0,0,0
2062,0,1,1,0,0,0,0,0
2069,1,1,1,0,0,1,0,0
2101,1,1,0,0,0,0,0,0
2102,0,1,1,0,0,0,0,0
2103,0,1,1,0,0,0,0,0
2104,1,1,0,0,0,0,0,0
2105,1,1,1,0,0,0,0,0
2106,1,1,1,0,0,0,0,0
2107,0,1,1,0,0,0,1,0
2108,0,1,1,0,0,1,0,0
2109,0,1,0,0,0,0,0,0
2114,1,1,1,0,0,0,0,0
2115,1,1,1,1,0,1,0,0
2201,1,1,1,0,0,0,1,0
2204,1,1,0,0,0,0,0,0
2206,1,1,0,0,0,0,0,0
2207,0,1,0,0,0,0,0,0
2208,0,1,1,0,0,1,0,0
2211,1,1,1,0,0,0,1,1
2227,0,1,1,1,0,1,0,0
2228,1,1,1,0,0,1,1,1
2231,1,1,1,0,0,1,0,0
2233,1,1,0,0,0,0,0,0
2239,0,1,1,0,0,0,0,0
2241,0,1,1,0,0,0,0,0
2247,1,1,1,0,0,0,1,1
2250,0,1,1,0,0,0,0,0
2301,0,1,1,0,0,0,0,0
2303,0,1,1,0,0,0,0,0
2305,0,1,0,1,0,1,0,1
2308,0,1,1,0,0,0,0,0
2312,1,1,1,0,0,1,0,0
2313,0,0,0,0,0,0,0,0
2314,0,1,1,0,0,1,0,0
2316,0,1,1,0,0,1,0,0
2317,1,1,0,0,0,0,0,0
2321,0,1,1,0,0,1,0,0
2323,1,1,1,0,0,0,0,0
2324,1,1,1,1,0,1,1,1
2327,1,1,0,0,0,0,0,0
2328,0,1,0,0,0,0,1,0
2329,0,1,0,0,0,1,0,0
2330,0,1,1,0,0,1,1,0
2331,1,1,1,0,0,1,0,0
2332,1,1,1,0,0,1,0,0
2337,1,1,0,0,0,0,0,0
2338,1,1,1,1,0,1,1,0
2340,1,1,1,0,0,1,0,0
2342,0,1,1,0,0,1,0,0
2344,0,1,1,0,0,0,0,0
2345,0,1,1,0,0,0,0,0
2347,1,1,0,0,0,0,0,0
2348,0,1,1,0,0,0,0,0
2349,0,1,0,0,0,0,0,0
2351,0,1,0,0,0,0,1,0
2352,1,1,0,0,0,0,0,0
2354,1,1,1,0,0,1,0,0
2355,0,1,1,0,0,1,0,0
2356,1,1,1,0,0,1,0,0
2357,1,1,1,0,0,1,0,0
2358,0,1,1,0,0,1,1,0
2359,0,1,0,0,0,0,0,0
2360,0,1,0,0,0,0,0,0
2362,1,1,0,0,0,1,0,0
2363,0,1,1,0,0,0,1,0
2364,0,1,1,0,0,0,1,0
2365,0,1,1,0,0,1,0,0
2367,1,1,1,0,0,1,0,0
2368,0,1,0,0,0,0,0,0
2369,0,1,1,0,0,1,0,0
2371,0,1,1,0,0,0,0,0
2373,0,1,1,0,0,0,0,0
2374,1,1,1,0,0,0,0,0
2375,0,1,1,0,0,0,0,0
2376,0,1,0,0,0,0,0,0
2377,0,0,1,0,0,1,0,0
2379,1,1,1,0,1,0,0,0
2380,0,1,1,0,0,0,0,0
2382,1,1,0,0,0,0,0,0
2383,1,1,1,0,0,0,0,0
2385,1,1,1,0,0,1,0,0
2387,0,1,1,0,0,0,0,0
2388,0,1,0,0,0,0,0,0
2390,0,1,1,0,0,0,1,0
2392,0,1,1,0,0,0,0,0
2393,1,1,1,0,0,0,0,0
2395,1,1,1,0,0,0,0,0
2397,0,1,0,0,0,1,0,1
2399,1,1,0,0,0,0,0,0
2401,1,1,1,0,0,1,0,0
2402,1,1,0,0,0,0,0,0
2404,0,1,0,0,0,0,0,0
2405,1,1,0,0,0,0,0,0
2406,0,1,1,0,0,0,0,0
2408,1,1,0,0,0,0,0,0
2409,0,1,0,0,0,0,0,0
