id,name,reenergy_usage_rate,energy_boundary,energy_ISO
1101,台泥,0.000100 ,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠、子公司和平電力),ISO 50001
1102,亞泥,0.000000 ,亞泥個體公司,ISO 50001
1103,嘉泥,N/A,N/A,ISO 50001
1104,環泥,N/A,N/A,N
1108,幸福,N/A,N/A,N
1109,信大,N/A,N/A,N
1110,東泥,N/A,N/A,N
1201,味全,N/A,N/A,ISO 50001
1203,味王,N/A,N/A,N
1210,大成,N/A,N/A,N
1213,大飲,N/A,N/A,NA
1215,卜蜂,N/A,N/A,N
1216,統一,0.000000 ,僅母公司,N
1217,愛之味,N/A,N/A,N
1218,泰山,N/A,N/A,N
1219,福壽,N/A,N/A,ISO 50001
1220,台榮,N/A,N/A,N
1225,福懋油,N/A,N/A,N
1227,佳格,N/A,N/A,N
1229,聯華,N/A,N/A,N
1231,聯華食,N/A,N/A,N
1232,大統益,N/A,N/A,ISO 50001
1233,天仁,N/A,N/A,N
1234,黑松,0.006000 ,台北總公司、中壢廠與斗六廠,ISO 50001
1235,興泰,N/A,N/A,N
1236,宏亞,0.263000 ,母公司,N
1256,鮮活果汁-KY,N/A,N/A,N
1301,台塑,0.000000 ,母公司,N
1303,南亞,0.000000 ,"母公司，已規劃分二階段於各廠區廠房屋頂建置太陽能發電設備，至119年，預計設置總容量約51,625KW，預估占台電契約容量29.4%(高於政府用電大戶條款規定的10%)，其中，新港配電盤廠廠房屋頂1,500KW太陽能發電設備建置投資案，於110年完成發包，進入施工階段。","1.ISO 50001能源管理系統:林口廠、樹林二廠、嘉義一廠、新港CCL一廠、新港CCL三廠。2.	綠色工廠標章: 樹林二廠、新港CCL一廠、新港CCL三廠。3.綠建築標章:林口製膜二廠(銀級標章)"
1304,台聚,N/A,N/A,ISO 50001
1305,華夏,N/A,N/A,ISO 50001
1307,三芳,N/A,N/A,N
1308,亞聚,N/A,N/A,ISO 50001
1309,台達化,N/A,N/A,ISO 50001
1310,台苯,N/A,N/A,N
1312,國喬,N/A,N/A,N
1313,聯成,N/A,N/A,ISO 50001
1314,中石化,0.001200 ,僅母公司,ISO 50001
1315,達新,0.009600 ,母公司,N
1316,上曜,N/A,N/A,N
1319,東陽,N/A,N/A,N
1321,大洋,N/A,N/A,N
1323,永裕,0.000000 ,"與台電合作躉售太陽能光電
每年產生綠電約達30000度電以上
但未使用綠電於企業自用.",N
1324,地球,N/A,N/A,N
1325,恆大,N/A,N/A,N
1326,台化,0.000000 ,110年台化及台醋公司之台灣廠區資料,N
1337,再生-KY,N/A,N/A,N
1338,廣華-KY,N/A,N/A,N
1339,昭輝,N/A,N/A,N
1340,勝悅-KY,N/A,N/A,N
1341,富林-KY,0.502900 ,"生物質 能源(壓榨稻殼)
生物質 能源(壓榨稻殼)",Higg Index (FEM)
1342,八貫,N/A,N/A,N
1402,遠東新,0.011000 ,統計範疇共21個生產據點,ISO 50001
1409,新纖,N/A,N/A,N
1410,南染,N/A,N/A,N
1413,宏洲,0.000000 ,僅母公司,N
1414,東和,0.000000 ,本公司,N
1416,廣豐,N/A,N/A,N
1417,嘉裕,N/A,N/A,N
1418,東華,N/A,N/A,N
1419,新紡,N/A,N/A,N
1423,利華,N/A,N/A,N
1432,大魯閣,N/A,N/A,N
1434,福懋,N/A,N/A,ISO 50001
1435,中福,N/A,N/A,N
1436,華友聯,N/A,N/A,N
1437,勤益控,N/A,N/A,N
1438,三地開發,N/A,N/A,N
1439,雋揚,N/A,N/A,N
1440,南紡,N/A,N/A,ISO 50001
1441,大東,N/A,N/A,N
1442,名軒,N/A,N/A,N
1443,立益物流,N/A,N/A,N
1444,力麗,0.000600 ,母公司各廠區,N
1445,大宇,N/A,N/A,N
1446,宏和,N/A,N/A,N
1447,力鵬,N/A,N/A,ISO 50001
1449,佳和,0.000000 ,母公司,N
1451,年興,0.175800 ,2021年母公司。,N
1452,宏益,0.000000 ,包含合併財務報表之母子公司,N
1453,大將,N/A,N/A,N
1454,台富,N/A,N/A,N
1455,集盛,N/A,N/A,N
1456,怡華,0.000000 ,未使用,N
1457,宜進,0.000000 ,僅母公司,N
1459,聯發,N/A,N/A,N
1460,宏遠,0.000000 ,母公司,ISO 50001
1463,強盛,N/A,N/A,N
1464,得力,N/A,N/A,N
1465,偉全,N/A,N/A,N
1466,聚隆,N/A,N/A,N
1467,南緯,N/A,N/A,N
1468,昶和,N/A,N/A,N
1470,大統新創,0.000000 ,合併財務報表之母子公司之桃園廠區,N
1471,首利,N/A,N/A,N
1472,三洋實業,N/A,N/A,N
1473,台南,0.400000 ,包含合併財務報表之母子公司,N
1474,弘裕,N/A,N/A,N
1475,業旺,N/A,N/A,N
1476,儒鴻,0.000000 ,包含合併財務報表之母子公司,ISO 50001
1477,聚陽,0.011000 ,台北總公司,ISAE3000
1503,士電,N/A,N/A,N
1504,東元,0.024000 ,台灣所有廠區,N
1506,正道,N/A,N/A,N
1512,瑞利,N/A,N/A,N
1513,中興電,0.075300 ,母公司110年度,N
1514,亞力,N/A,N/A,N
1515,力山,N/A,N/A,N
1516,川飛,N/A,N/A,N
1517,利奇,N/A,N/A,N
1519,華城,0.000900 ,僅母公司,ISO50001:2018
1521,大億,N/A,N/A,N
1522,堤維西,N/A,N/A,N
1524,耿鼎,N/A,N/A,N
1525,江申,N/A,N/A,N
1526,日馳,N/A,N/A,N
1527,鑽全,N/A,N/A,N
1528,恩德,N/A,N/A,N
1529,樂事綠能,N/A,N/A,N
1530,亞崴,N/A,N/A,N
1531,高林股,N/A,N/A,N
1532,勤美,0.009700 ,勤美金屬成型事業處,N
1533,車王電,N/A,N/A,N
1535,中宇,N/A,N/A,N
1536,和大,0.076800 ,僅母公司,ISO 50001
1537,廣隆,N/A,N/A,N
1538,正峰,N/A,N/A,N
1539,巨庭,N/A,N/A,N
1540,喬福,N/A,N/A,N
1541,錩泰,N/A,N/A,N
1558,伸興,0.000000 ,合併財務報表之母子公司,ISO 50001
1560,中砂,N/A,N/A,ISO 50001
1568,倉佑,0.000000 ,僅母公司,N
1582,信錦,N/A,N/A,ISO 50001
1583,程泰,N/A,N/A,N
1587,吉茂,N/A,N/A,N
1589,永冠-KY,N/A,N/A,ISO 50001
1590,亞德客-KY,0.023300 ,包含三個生產工廠，已涵蓋集團90%以上的排放量,N
1597,直得,0.037000 ,母公司,N
1598,岱宇,N/A,N/A,N
1603,華電,N/A,N/A,N
1604,聲寶,N/A,N/A,N
1605,華新,N/A,N/A,ISO 50001
1608,華榮,N/A,N/A,N
1609,大亞,N/A,N/A,ISO 50001
1611,中電,N/A,N/A,N
1612,宏泰,N/A,N/A,N
1614,三洋電,N/A,N/A,N
1615,大山,N/A,N/A,N
1616,億泰,N/A,N/A,N
1617,榮星,N/A,N/A,N
1618,合機,N/A,N/A,N
1626,艾美特-KY,N/A,N/A,N
1701,中化,N/A,N/A,N
1702,南僑,N/A,N/A,N
1707,葡萄王,0.000000 ,葡萄王生技、葡眾企業,ISO 50001
1708,東鹼,N/A,N/A,N
1709,和益,N/A,N/A,N
1710,東聯,0.000000 ,"1.2022年 H2已規劃建置太陽能光電系統（約87KW)。
2.2025年底前購買10%再生能源電力及憑證，以符合法令要求。",ISO 50001
1711,永光,N/A,N/A,ISO 14001
1712,興農,0.000000 ,母公司王田廠區(王田廠、王田二廠、生物工廠),N
1713,國化,0.000000 ,屏南分公司,N
1714,和桐,N/A,N/A,N
1717,長興,0.000100 ,包含合併財務報表之母子公司,ISO 50001
1718,中纖,N/A,N/A,ISO 50001
1720,生達,0.072000 ,生達一廠+生達二廠,N
1721,三晃,N/A,N/A,確信準則公報第一號
1722,台肥,0.044000 ,僅計算母公司台中廠、苗栗廠電力使用再生發電比例,ISO 50001
1723,中碳,N/A,N/A,ISO 50001
1725,元禎,0.000000 ,母公司,N
1726,永記,N/A,N/A,N
1727,中華化,N/A,N/A,N
1730,花仙子,N/A,N/A,N
1731,美吾華,N/A,N/A,N
1732,毛寶,N/A,N/A,N
1733,五鼎,N/A,N/A,N
1734,杏輝,N/A,N/A,N
1735,日勝化,N/A,N/A,N
1736,喬山,N/A,N/A,N
1737,臺鹽,N/A,N/A,N
1752,南光,0.010800 ,"屋頂型太陽能2021年發電212,861度",N
1760,寶齡富錦,N/A,N/A,N
1762,中化生,N/A,N/A,N
1773,勝一,N/A,N/A,N
1776,展宇,N/A,N/A,N
1783,和康生,N/A,N/A,N
1786,科妍,N/A,N/A,N
1789,神隆,0.005300 ,"僅母公司(於2021年外購電力32,253,016度，太陽能發電172,218度)",N
1795,美時,N/A,N/A,N
1802,台玻,N/A,N/A,ISO 50001
1805,寶徠,N/A,N/A,N
1806,冠軍,N/A,N/A,ISO 50001
1808,潤隆,N/A,N/A,N
1809,中釉,N/A,N/A,N
1810,和成,N/A,N/A,ISO 50001
1817,凱撒衛,N/A,N/A,N
1903,士紙,N/A,N/A,N
1904,正隆,0.000100 ,母公司,ISO 50001
1905,華紙,0.290000 ,華紙合併財報之台灣、大陸生產據點,ISO 50001
1906,寶隆,N/A,N/A,N
1907,永豐餘,0.312000 ,"永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南三地共合計共35個生產據點。
可再生能源包含：SRF、回收紙渣、廢膠片、餘泥、沼氣、木質素、樹皮、木片等",ISO 50001
1909,榮成,0.020000 ,僅母公司,ISO 50001
2002,中鋼,0.000000 ,母公司,ISO 50001
2006,東和鋼鐵,0.000000 ,母公司,ISO 50001
2007,燁興,N/A,N/A,ISO 50001
2008,高興昌,0.000000 ,110年屏南廠區,N
2009,第一銅,0.000000 ,無使用再生能源,N
2010,春源,N/A,N/A,N
2012,春雨,N/A,N/A,N
2013,中鋼構,N/A,N/A,ISO 50001
2014,中鴻,0.000000 ,母公司,ISO 50001
2015,豐興,N/A,N/A,N
2017,官田鋼,N/A,N/A,N
2020,美亞,N/A,N/A,N
2022,聚亨,N/A,N/A,N
2023,燁輝,0.000000 ,2021全年度,ISO 50001
2024,志聯,N/A,N/A,N
2025,千興,N/A,N/A,N
2027,大成鋼,N/A,N/A,中華民國確信準則公報第一號「非屬歷史性財務資訊查核或核閱之確信案件」標準
2028,威致,N/A,N/A,N
