id,name,scope1_ton_CO2e,scope1_boundary,scope1_ISO,scope2_ton_CO2e,scope2_boundary,scope2_ISO,scope3_ton_CO2e,scope3_boundary,scope3_ISO,intensity_ton_CO2e,intensity_unit
3094,聯傑,18.10 ,母公司,N,396.10 ,母公司,N,657.33 ,母公司,N,1.51 ,營業額
3130,一零四,N/A,N/A,N,1040.33 ,包含合併財務報表之母子公司全台營運據點,N,N/A,N/A,N,0.04 ,無生產活動，以每坪碳排放量計算
3138,耀登,16.10 ,僅母公司,N,124.34 ,僅母公司,N,76.41 ,僅母公司,N,0.00 ,營業額
3149,正達,49.52 ,母公司,N,26789.20 ,母公司,N,N/A,N/A,N,11.04 ,"(間接+直接)26,838.72噸CO2e/個體營收淨額2,431百萬元"
3164,景岳,162.52 ,"110年天然氣使用量(鍋爐)
110年	立方公尺
1月	6984.9
2月	4166.73
3月	7056.54
4月	6036.12
5月	7580.35
6月	7586.11
7月	6501.85
8月	7893.72
9月	10685
10月	6964.4
11月	7722.41
12月	7228.61",N,2066.13 ,"110年用電度數
11001	302700
11002	232900
11003	336200
11004	333100
11005	379600
11006	378400
11007	389100
11008	396100
11009	353900
11010	368200
11011	325600
11012	320000",N,N/A,N/A,N,59.36 ,產品
3167,大量,80.00 ,母公司,N,2233.00 ,母公司,N,N/A,N/A,N,N/A,N/A
3189,景碩,16293.96 ,僅母公司,ISO 14064,233403.78 ,僅母公司,ISO 14064,151399.30 ,僅母公司,ISO 14064,0.07 ,產品
3209,全科,N/A,N/A,N,259.92 ,僅包含母公司的台灣總部、各點辦公室及物流倉儲。,N,N/A,N/A,N,0.55 ,營業額
3229,晟鈦,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
3231,緯創,20382.51 ,母公司(內湖總部/汐止辦公區/新竹廠)及全球主要營運與製造廠區(昆山廠、泰州廠、中山廠、重慶廠、成都廠、墨西哥廠、捷克廠及昆山光電廠),ISO 14064,287909.87 ,母公司(內湖總部/汐止辦公區/新竹廠)及全球主要營運與製造廠區(昆山廠、泰州廠、中山廠、重慶廠、成都廠、墨西哥廠、捷克廠及昆山光電廠),ISO 14064,16141042.93 ,母公司(內湖總部/汐止辦公區/新竹廠)及全球主要營運與製造廠區(昆山廠、泰州廠、中山廠、重慶廠、成都廠、墨西哥廠、捷克廠及昆山光電廠),ISO 14064,0.39 ,單位:千噸CO2e/十億元新台幣(以緯創全球主要製造廠區溫室氣體排放量 / 廠區營收做為計算基準)
