代號,名稱,TESG評等季度,TESG評等公告日,採用永續報告書年度,採用永續報告書是否驗證,SASB主產業,SASB子產業,industry_id,E1_YoY,E1_base_YoY,E7_YoY,E7_base_YoY,E9_YoY,E9_base_YoY,E10_YoY,E10_base_YoY,E15_YoY,E15_base_YoY,E16_YoY,E16_base_YoY,E17_YoY,E17_base_YoY,E20_YoY,E20_base_YoY,E21_YoY,E21_base_YoY,S1_YoY,S1_base_YoY,S2_YoY,S2_base_YoY,S4_YoY,S4_base_YoY,S7_YoY,S7_base_YoY,S8_YoY,S8_base_YoY,S9_YoY,S9_base_YoY,S10_YoY,S10_base_YoY,S11_YoY,S11_base_YoY,S12_YoY,S12_base_YoY,S13_YoY,S13_base_YoY,S14_YoY,S14_base_YoY,S15_YoY,S15_base_YoY,S17_YoY,S17_base_YoY,S19_YoY,S19_base_YoY,S20_YoY,S20_base_YoY,S21_YoY,S21_base_YoY,S24_YoY,S24_base_YoY,G1_YoY,G1_base_YoY,G5_YoY,G5_base_YoY,G6_YoY,G6_base_YoY,G7_YoY,G7_base_YoY,G8_YoY,G8_base_YoY,G13_YoY,G13_base_YoY,G14_YoY,G14_base_YoY,G19_YoY,G19_base_YoY,G20_YoY,G20_base_YoY,G21_YoY,G21_base_YoY,G22_YoY,G22_base_YoY,G24_YoY,G24_base_YoY,E2_perf,E3_perf,E4_perf,E5_perf,E6_perf,E8_perf,E11_perf,E12_perf,E13_perf,E14_perf,S3_perf,S5_perf,S6_perf,S16_perf,S18_perf,S23_perf,S25_perf,G2_perf,G3_perf,G4_perf,E18_perf,LEVEL_110,TESG_110,LEVEL_111,TESG_111,TESG_change,LEVEL_110,TESG_110,LEVEL_111,TESG_111,TESG_change
1213,大飲,2021/12,2022/03/31,2020.0,1.0,食品與飲料,無酒精飲料,2,-0.8914696969696969,0.23618655178872433,,,-0.9922866599510721,0.3082728000125513,,,inf,,,,,,,,,,,,,,,,,,,,inf,,,,,,-0.6836306400839454,0.0829545454545453,-0.6227272727272727,inf,2.4944444444444445,0.935483870967742,0.24786324786324787,-0.00425531914893617,inf,,0.16678333916695837,-0.02737114454960164,0.12494375281235935,-0.17436532507739935,-0.40476190476190477,-0.9607659971975712,inf,,inf,,,,inf,,2.867584745762712,2.7911646586345378,inf,-1.0,0.0,0.24069478908188577,,,-0.14285714285714285,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C-,37.37,B-,47.54,↑,C-,37.37,B-,47.54,↑
1215,卜蜂,2021/12,2022/03/31,2020.0,1.0,食品與飲料,肉品、家禽與乳製品,1,-0.8849270132852223,0.14197415246300804,,,-0.9525038932289991,2.6570545505891214,inf,,inf,,inf,,,,,,,,inf,,inf,,,,inf,,,,inf,,inf,-1.0,,,-0.5227765726681128,2.292857142857143,inf,,3.4115674769488686,-0.4714222419140452,0.8403648802736602,-0.22934973637961337,inf,,1.2069390268938613,-0.3366923129298018,,-0.25696594427244585,-0.9944326912370559,3.1947687996263427,inf,,inf,,inf,,inf,,-0.013827160493827217,2.319672131147541,-1.0,inf,0.2642225031605562,0.6044624746450306,,,-0.7142857142857143,0.75,-1.0,inf,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,A,66.56,B+,61.32,↓,A,66.56,B+,61.32,↓
1216,統一,2021/12,2022/03/31,2020.0,1.0,食品與飲料,無酒精飲料,2,-0.9291618828932262,-0.0014739600393055114,,,-0.9903580912667259,1.9976466049382713,,,inf,,,,,-1.0,,,,,,,inf,,,,inf,,,,inf,,,,,,-0.820037541060535,8.205183585313174,,-1.0,-0.44815793564433387,0.8332858364206325,0.9224629418472063,-0.22867194371152155,,,0.710890987476904,-0.22063999999999992,0.25,-0.09090909090909091,-0.9955461529896449,44.130653266331656,inf,,inf,,,,inf,,2.761290322580645,-0.9150219298245613,-1.0,inf,3.8820512820512816,-0.8049999999999999,-1.0,inf,-0.7142857142857143,0.0,-1.0,inf,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,A+,76.47,A+,70.54,-,A+,76.47,A+,70.54,-
1217,愛之味,2021/12,2022/03/31,2020.0,1.0,食品與飲料,無酒精飲料,1,0.0664589142201082,17.254491017964074,,,-0.727133768345367,25.199505451275712,,,,-1.0,,,,,,,,,,,,-1.0,,,,,,,,-1.0,-1.0,4.006006006006006,-1.0,inf,0.27229065682394277,5.223913645170218,-0.7140287769784173,1.0,0.7122302158273381,-0.8093932122043196,0.8968253968253969,-0.5650172612197929,,,0.710890987476904,-0.5020700230002555,0.25,-0.37997313216906065,-0.9910923059792897,63.611510791366904,,-1.0,,-1.0,,-1.0,,,-0.5439800374298192,0.17306988657153327,,,2.676470588235294,-0.7213114754098361,-1.0,inf,0.0,0.75,-1.0,inf,,,,,,,6.0,0.0,3.0,2.0,2.0,5.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,,B+,62.93,B+,62.96,-,B+,62.93,B+,62.96,-
1218,泰山,2021/12,2022/03/31,2020.0,1.0,食品與飲料,農產品,1,-0.7962706841195357,0.22939122514042828,,,-0.8734488007021364,0.1683064223041379,,-1.0,inf,-1.0,inf,,,,,,,,,-1.0,inf,-1.0,,,inf,,,,inf,-1.0,,,inf,,-0.5180722891566266,0.6863031010012637,7.000000000000001,-0.9333333333333332,-0.5023041474654377,2.5,0.8042635658914729,-0.33676092544987146,inf,-1.0,,-0.39505,,-0.3333,-0.90234375,inf,inf,-1.0,inf,-1.0,inf,-1.0,inf,-1.0,0.07710651828298892,-2.5211608222490933,,,0.006872852233676982,0.035587188612099675,,,0.0,1.3333333333333333,inf,,,,,,,,3.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,-10.0,1.0,-1.0,-1.0,,B+,58.22,B+,62.88,-,B+,58.22,B+,62.88,-
1219,福壽,2021/12,2022/03/31,2020.0,1.0,食品與飲料,農產品,1,0.17655896274953692,-0.0730637161388783,,,-0.026375796415663722,-0.004820349289925564,,,,,,,,,,,,,,,,,,,-0.3333333333333333,2.0,,,,,,,,,0.22008172796263864,1.845514950166113,inf,,3.0031479538300103,-0.6369523809523809,0.09892086330935251,0.1829787234042553,,,0.2886201209455744,-0.13787383288307498,0.003749812509374531,-0.01229629629629627,0.1999999999999999,0.19047619047619047,,,,,,,,,2.4044943820224716,-0.895662368112544,,-1.0,24.0,-0.96,-1.0,inf,0.0,0.0,-1.0,inf,,,,,,,-4.0,0.0,-1.0,0.0,-1.0,-7.0,-1.0,-5.0,2.0,-1.0,0.0,0.0,1.5,3.0,1.0,-3.0,-10.0,-1.0,0.0,0.0,,A,69.91,A,69.08,-,A,69.91,A,69.08,-
1220,台榮,2021/12,2022/03/31,2020.0,1.0,食品與飲料,農產品,1,0.16678310574785643,-0.9536332179930795,,,9.278635817307691,-0.9844768155082584,,-1.0,,-1.0,,,-1.0,inf,,,,,-1.0,inf,-1.0,1.0,,,inf,,,,-1.0,inf,-1.0,inf,,,0.8733153638814016,-0.67527352297593,3.3478260869565215,inf,0.41604855023600806,-0.7411415604817595,-0.25081521739130436,0.6182937554969217,-0.965650493774152,inf,-0.17199083434425122,0.48379999999999995,-0.2360490431992666,0.3222727272727272,0.11111111111111122,-0.7738693467336685,-1.0,0.3333333333333333,-1.0,3.0,-1.0,1.0,-1.0,3.0,0.2951934349355218,1.0377448638318203,-1.0,inf,0.3071895424836601,-0.15841584158415842,,,6.0,-0.8,,,,,,,,,-3.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,-2.0,0.0,0.0,1.0,-1.0,2.0,0.0,0.0,-1.0,1.0,0.0,0.0,,B,54.41,B-,51.37,↓,B,54.41,B-,51.37,↓
1225,福懋油,2021/12,2022/03/31,2020.0,1.0,食品與飲料,農產品,1,-0.24383618028400908,-0.20422535211267603,,,-0.36273147285666385,-0.30969650205761323,,,,,,,,,,,,,,,,,,,-0.8181818181818182,inf,,,,,-1.0,inf,,,-0.5835240274599541,0.8380651945320716,,,-0.83,4.2631578947368425,0.30344827586206896,-0.23482849604221637,,,0.12571009712296133,0.09140000000000001,0.0,0.010151515151515177,0.0,-0.7487437185929648,,,,,,,,,-0.9068908941755538,1.5343035343035345,-1.0,inf,-0.8783132530120482,-0.17000000000000004,inf,,0.16666666666666666,-0.14285714285714285,inf,,,,,,,,3.5,-1.0,1.0,0.0,0.0,3.5,0.0,2.0,-1.0,0.0,0.0,0.5,0.0,0.0,-1.0,0.0,1.0,0.0,3.0,0.5,,B+,59.52,B+,59.64,-,B+,59.52,B+,59.64,-
1227,佳格,2021/12,2022/03/31,2020.0,1.0,食品與飲料,加工食品,1,-0.6984545454545454,0.20702267739575708,,,-0.7403043603396172,-0.5872249007514182,,,,,,,,,,,,,,,,,,,-1.0,inf,,,,,,,,,-0.17912992643834946,-0.5257162661737523,,,-0.7438360550752482,-0.07794508414526122,0.12478632478632479,0.25133689839572193,,,0.07507875393769686,0.3249855072463768,0.0,0.16964912280701758,-0.40476190476190477,-0.9946754563894523,,,,,,,,,1.00953516090584,-0.3111658456486042,,-1.0,0.0,3.0,,-1.0,-0.42857142857142855,0.16666666666666666,,,,,,,,,-3.5,1.0,1.0,0.0,0.0,-4.0,0.0,-2.5,3.0,0.0,0.0,-0.5,0.0,-2.0,0.0,2.0,-6.0,-0.5,-3.0,-0.5,,A,64.55,B+,61.64,↓,A,64.55,B+,61.64,↓
1229,聯華,2021/12,2022/03/31,2020.0,1.0,食品與飲料,農產品,1,9.506802721088436,-0.9779676258992805,,,-0.49208241737769665,-0.5140547342500973,,,,,,,,,,,,,,,,,,,-1.0,inf,,,,,-1.0,inf,,,-0.8332426056976956,2.4886370829904414,,-1.0,-1.0,-0.05320108205590621,0.32230215827338127,0.3594132029339853,,,0.2087227414330217,-0.03489379764073358,-0.12149392530373483,-0.060985915492957725,-1.0,-0.9029126213592233,,,,,,,,,7.127490039840638,-1.2282855843565257,,,0.8315018315018313,-0.37169159953970077,,,1.0,-0.5714285714285714,,,,,,,,,3.5,-3.0,0.0,0.0,0.0,4.0,0.0,2.5,-4.0,1.0,0.0,0.5,0.0,2.0,0.0,0.0,2.5,0.5,3.0,0.5,,A,67.35,A,67.36,-,A,67.35,A,67.36,-
1231,聯華食,2021/12,2022/03/31,2020.0,1.0,食品與飲料,加工食品,1,-0.24383618028400908,0.6393387314439947,,,-0.36273147285666385,15.890497168030208,,,,,,,,,,,,,,,,-1.0,,,inf,,,,,-1.0,,-1.0,,,1.951019696705595,-0.3031701688327463,,-1.0,0.27770534550195564,1.4934980494148242,-0.3047404063205418,-0.25754189944134076,,-1.0,0.12571009712296133,-0.23603527929441417,0.0,-0.23631156930126,0.0,0.25000000000000006,,-1.0,,-1.0,,-1.0,,-1.0,-0.5001492091912861,-0.023885814156714254,inf,-1.0,0.10741971207087483,0.14885496183206107,,,-0.14285714285714285,6.0,,,,,,,,,-3.5,-1.0,0.0,0.0,0.0,-4.0,0.0,-2.5,-1.0,-1.0,0.0,-0.5,0.0,-2.0,0.0,0.0,-6.0,-0.5,-3.0,-0.5,,B+,63.76,A+,70.74,↑,B+,63.76,A+,70.74,↑
1232,大統益,2021/12,2022/03/31,2020.0,1.0,食品與飲料,農產品,1,0.17655896274953692,-0.0730637161388783,,,-0.026375796415663722,-0.004820349289925564,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,-0.8107653490328007,0.5727513227513229,0.6739130434782611,inf,-0.15494505494505487,-0.30000000000000004,-0.35590669676448455,0.0632,,,0.2886201209455744,-0.13787383288307498,0.003749812509374531,-0.01229629629629627,17.4,0.19047619047619047,,,,,,,,,1.050520059435364,-0.6951992753623188,,,0.23706896551724144,-0.30400000000000005,,,-0.2857142857142857,0.0,,,,,,,,,4.0,4.0,0.0,0.0,1.0,3.0,0.0,5.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,A,67.39,A,65.54,-,A,67.39,A,65.54,-
1233,天仁,2021/12,2022/03/31,2020.0,1.0,食品與飲料,餐飲,1,0.3381765795431159,2.5806927044952097,,,0.18492305972651749,18.211882605583394,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,-1.0,,,-0.1981216192117934,1.0916324754444862,inf,-1.0,-0.31644699140401145,9.436602870813397,-0.03875094055680963,-0.3056426332288401,,-1.0,0.22173355323437788,-0.4543,0.12494375281235935,-0.3333,0.0,0.25000000000000006,,,,,,,,,-0.8397626112759643,-0.6800632911392406,,,2.8314176245210727,-0.739,-1.0,inf,-0.14285714285714285,0.0,inf,,,,,,,,-1.0,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.5,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,,B+,62.12,B+,58.85,-,B+,62.12,B+,58.85,-
1234,黑松,2021/12,2022/03/31,2020.0,1.0,食品與飲料,無酒精飲料,2,-0.7983947314262194,1.964612568639414,,,-0.7573978166101569,1.3494550706876174,inf,,inf,,,,,,,,,,,,,,,,1.0,inf,,,inf,,inf,,,,0.059235720687688447,1.1722123893805307,-0.8941798941798942,inf,21.22222222222222,inf,1.5011286681715577,-0.09714673913043478,inf,,-0.31280923584387027,-0.09306963603124482,,-0.2508988764044944,0.0,inf,inf,,inf,,inf,,inf,,0.04900332225913635,-1.7153891859774213,,,0.0,0.0,,,-0.8571428571428571,0.4,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0,1.0,0.0,0.0,-1.0,0.5,0.0,-2.0,-1.0,-10.0,1.0,1.0,1.0,,A,69.28,A+,71.6,↑,A,69.28,A+,71.6,↑
