,腹,industry_id,LEVEL_111,E1,E9,E10,E17,Q4,Q7,Q11,Q15,Q3,Q13,S12,S2,S9,S21,esg_out,Q20,Q18,Q23,Q24,Q27,Q29,Q31,G6,G19,Q34_2,Q43,Q35_2,E_score,S_score,G_score,ESG_score,E1_topic_score,E2_topic_score,E3_topic_score,E4_topic_score,E5_topic_score,S1_topic_score,S2_topic_score,S3_topic_score,S4_topic_score,S5_topic_score,G1_topic_score,G2_topic_score,G3_topic_score,G4_topic_score,ESG_rating,ネ玻(じ),綪ゑ瞯,綪ゑ,ネ玻(じ),market_share,total_market_value
20,1256,2,C,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1,1,2.0,0.0,0.0,-2147483648.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,2.6,3.2,4.5,3.434,3.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,B+,2810480.0,0.0,0%(礚綪),20货~50货,0.015287252094678485,183844682
17,1213,2,B-,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2,3,2.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,2.2,3.6,3.5,3.018,3.0,3.0,0.0,0.0,5.0,0.0,5.0,3.0,5.0,5.0,5.0,0.0,5.0,4.0,B,344880.0,9.08,綪ゑㄒ禬筁0%~10%,2货~5货,0.0018759313364310423,183844682
114,1402,3,B+,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,3,3,1.0,0.0,0.0,-2147483648.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.2,3.0,3.25,3.168,3.0,5.0,3.0,0.0,5.0,0.0,5.0,4.0,3.0,3.0,5.0,4.0,0.0,4.0,B,255032551.0,51.09,綪ゑㄒ禬筁50%,1000货,0.6732820824969619,378790046
115,1409,3,B+,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4,1,2.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,3.0,1.6,3.8,2.25,2.384,0.0,3.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,4.0,C,51719156.0,76.57,綪ゑㄒ禬筁50%,500货~1000货,0.13653779064722307,378790046
122,1434,3,A,1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,3,1,1.0,0.0,0.0,-2147483648.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.6,3.2,3.25,3.374,4.0,5.0,4.0,0.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,4.0,0.0,4.0,B+,24482617.0,55.27,綪ゑㄒ禬筁50%,200货~500货,0.06463373908193987,378790046
123,1440,3,B+,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3,3,1.0,0.0,0.0,-2147483648.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.4,2.8,3.25,2.806,0.0,3.0,0.0,5.0,4.0,0.0,5.0,3.0,3.0,3.0,5.0,4.0,0.0,4.0,B-,23941391.0,75.44,綪ゑㄒ禬筁50%,200货~500货,0.0632049106168962,378790046
125,1444,3,B,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1,4,1.0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.4,4.4,4.5,3.656,3.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,A,15940073.0,44.07,綪ゑㄒ禬筁40%~50%,100货~200货,0.04208155195292539,378790046
149,9938,3,B+,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,True,False,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,2.0,1.0,,3.0,1.0,1.0,2.5,1.54,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,C-,12761981.0,90.4,綪ゑㄒ禬筁50%,100货~200货,0.033691437076464256,378790046
131,1455,3,A,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1,1,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,4.8,2.25,3.57,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,4.0,A,12079167.0,43.05,綪ゑㄒ禬筁40%~50%,100货~200货,0.031888818430038685,378790046
136,1464,3,C,1.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1,3,2.0,0.0,0.0,-2147483648.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,0.0,1.0,4.0,1.0,3.0,2.6,3.6,3.25,3.084,0.0,4.0,4.0,0.0,5.0,0.0,5.0,5.0,3.0,5.0,5.0,4.0,0.0,4.0,B,10494287.0,68.63,綪ゑㄒ禬筁50%,100货~200货,0.027704759168882702,378790046
127,1447,3,B,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3,4,2.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0,4.6,3.25,2.71,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,0.0,4.0,B-,10064370.0,49.85,綪ゑㄒ禬筁40%~50%,100货~200货,0.026569784782570553,378790046
134,1460,3,B+,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3,1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,4.6,3.25,3.1,3.0,3.0,0.0,0.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,0.0,4.0,B,9117317.0,85.47,綪ゑㄒ禬筁50%,50货~100货,0.02406957916734697,378790046
147,8404,3,B+,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,1.6,3.8,2.25,2.384,0.0,3.0,0.0,0.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,0.0,0.0,4.0,C,7406154.0,40.41,綪ゑㄒ禬筁40%~50%,50货~100货,0.01955213469363448,378790046
146,6504,3,B+,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,-2147483648.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,2.0,0.0,2.0,4.0,1.0,3.0,1.6,3.2,3.5,2.684,0.0,3.0,0.0,0.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,4.0,B-,6877114.0,31.54,綪ゑㄒ禬筁30%~40%,50货~100货,0.01815547708452719,378790046
132,1457,3,A,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1,1,2.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,4.2,3.25,2.61,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,0.0,4.0,4.0,B-,5087434.0,28.32,綪ゑㄒ禬筁20%~30%,50货~100货,0.013430748916775918,378790046
117,1413,3,B-,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.6,4.6,4.5,3.394,3.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,B+,4245115.0,12.29,綪ゑㄒ禬筁10%~20%,20货~50货,0.01120703947959604,378790046
138,1466,3,A,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,4,1,1.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,2.2,4.6,4.5,3.628,0.0,3.0,3.0,0.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,A,3929906.0,39.45,綪ゑㄒ禬筁30%~40%,20货~50货,0.010374892480675165,378790046
148,9919,3,A,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1,1,2.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,2.8,4.2,3.5,3.402,0.0,4.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,4.0,B+,3179197.0,49.37,綪ゑㄒ禬筁40%~50%,20货~50货,0.008393032059770652,378790046
144,4439,3,C,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,-2147483648.0,1.0,2.0,,,,,,,0.0,1.0,1.0,,3.0,1.6,0.2,2.25,1.484,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,C-,3178416.0,79.35,綪ゑㄒ禬筁50%,20货~50货,0.008390970231567279,378790046
128,1449,3,B-,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1,1,2.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,1.8,4.0,3.25,2.872,0.0,4.0,0.0,0.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,0.0,4.0,B-,2417368.0,57.06,綪ゑㄒ禬筁50%,20货~50货,0.006381815006828348,378790046
141,1474,3,B,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,1.6,3.2,3.25,2.5940000000000003,3.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,4.0,0.0,4.0,B-,2408258.0,27.5,綪ゑㄒ禬筁20%~30%,20货~50货,0.006357764744430481,378790046
150,9944,3,B-,-2147483648.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,False,False,2.0,0.0,0.0,1.0,1.0,0.0,,,,,,,0.0,1.0,1.0,,3.0,1.6,1.0,2.25,1.6840000000000002,0.0,3.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,C-,2105474.0,91.51,綪ゑㄒ禬筁50%,20货~50货,0.005558419557836005,378790046
133,1459,3,B-,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,1.0,-2147483648.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.6,3.4,3.5,2.734,0.0,3.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,3.0,5.0,5.0,0.0,4.0,B-,1901989.0,27.03,綪ゑㄒ禬筁20%~30%,10货~20货,0.0050212222313782764,378790046
130,1454,3,C-,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,-2147483648.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,1.0,2.8,3.25,2.26,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,3.0,3.0,5.0,4.0,0.0,4.0,C,1714518.0,50.14,綪ゑㄒ禬筁50%,10货~20货,0.004526301623036842,378790046
129,1452,3,B,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1,1,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.8,4.8,4.5,3.522,0.0,5.0,0.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,A,1543624.0,4.45,綪ゑㄒ禬筁0%~10%,10货~20货,0.004075144044307859,378790046
145,4440,3,C-,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,4.0,3.25,2.95,0.0,5.0,0.0,0.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,0.0,4.0,B,1275349.0,7.14,綪ゑㄒ禬筁0%~10%,10货~20货,0.0033669020964716694,378790046
126,1445,3,C-,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,3.2,2.25,2.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,0.0,0.0,4.0,C,1196826.0,48.4,綪ゑㄒ禬筁40%~50%,10货~20货,0.003159602562523515,378790046
143,4426,3,B-,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,3,1,2.0,0.0,0.0,-2147483648.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,3.4,2.8,3.25,3.196,3.0,0.0,4.0,5.0,5.0,0.0,5.0,3.0,3.0,3.0,5.0,4.0,0.0,4.0,B+,1077561.0,66.82,綪ゑㄒ禬筁50%,10货~20货,0.0028447447639635176,378790046
139,1468,3,B,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.6,3.6,3.25,2.694,0.0,3.0,0.0,0.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,0.0,4.0,B-,965204.0,85.38,綪ゑㄒ禬筁50%,5货~10货,0.00254812398106153,378790046
124,1441,3,C,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.4,4.5,2.86,0.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,B-,948039.0,91.36,綪ゑㄒ禬筁50%,5货~10货,0.002502808640330533,378790046
142,1475,3,B-,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.8,2.25,1.9,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,3.0,3.0,5.0,4.0,0.0,0.0,C-,908104.0,48.89,綪ゑㄒ禬筁40%~50%,5货~10货,0.002397380843529347,378790046
140,1470,3,B+,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,1,1,2.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.4,4.2,3.25,3.5460000000000003,4.0,4.0,4.0,0.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,0.0,4.0,A,797027.0,60.14,綪ゑㄒ禬筁50%,5货~10货,0.0021041392412935794,378790046
118,1414,3,B,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.6,4.0,3.25,2.404,0.0,3.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,3.0,5.0,0.0,4.0,4.0,C,612551.0,0.74,綪ゑㄒ禬筁0%~10%,5货~10货,0.0016171253877141217,378790046
137,1465,3,B-,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.6,4.2,3.25,2.8440000000000003,0.0,3.0,0.0,0.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,0.0,4.0,B-,487069.0,76.87,綪ゑㄒ禬筁50%,2货~5货,0.0012858548030588955,378790046
135,1463,3,B,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,-2147483648.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.6,2.8,3.25,2.494,0.0,3.0,0.0,0.0,5.0,0.0,5.0,3.0,3.0,3.0,5.0,4.0,0.0,4.0,C,421093.0,0.0,0%(礚綪),2货~5货,0.001111679159594389,378790046
